ISSUE;TYPE;STORY TITLE;STORYLINE;EVENT;COVER DATE;RELEASE DATE;WRITER;PENCILER;MAIN CHARACTERS;ANTAGONISTS;SUPPORTING CHARACTERS
Amazing Spider-Man Annual Vol 1 2;Special;The Wondrous World of Dr. Strange;;;1965-10;1965-06-01;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;🢐 Xandu 🢒 (First appearance) | Xandu's two unnamed minions;🢐 Doctor Strange (Stephen Strange) 🢒
Amazing Spider-Man Vol 1 29;Main Series;Never Step on a Scorpion! or You Think It's Easy to Dream Up Titles Like This?;;;1965-10;1965-07-08;Stan Lee;Steve Ditko;🢐 Spider-Man 🢒;🢐 Scorpion 🢒;🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Ned Leeds 🢒
Amazing Spider-Man Vol 1 30;Main Series;The Claws of the Cat!;;;1965-11;1965-08-10;Stan Lee;Steve Ditko;Spider-Man (Peter Parker) (See chronology);Cat Burglar (First appearance) (See chronology) | 🢐 Master Planner 🢒 (Voice);🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Frederick Foswell 🢒 | 🢐 Ned Leeds 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒
Amazing Spider-Man Vol 1 31;Main Series;If This Be My Destiny...!;;;1965-12;1965-09-09;Stan Lee;Steve Ditko;Spider-Man (See chronology);🢐 Master Planner 🢒 (Voice) | Foxy Briggs (First appearance);Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Frederick Foswell 🢒 | 🢐 Ned Leeds 🢒 | 🢐 Aunt May 🢒 | 🢐 Flash Thompson 🢒 | Gwen Stacy (First appearance) (See chronology) | 🢐 Harry Osborn 🢒 (First appearance)
Amazing Spider-Man Vol 1 32;Main Series;Man on a Rampage!;;;1966-01;1965-10-12;Stan Lee;Steve Ditko;Spider-Man (Peter Parker) (See chronology);Doctor Octopus (See chronology);Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Ned Leeds 🢒 | 🢐 Frederick Foswell 🢒 | 🢐 Aunt May 🢒
Amazing Spider-Man Vol 1 33;Main Series;The Final Chapter!;;;1966-02;1965-11-11;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;Master Planner's henchmen;🢐 May Parker (Aunt May) 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Frederick Foswell 🢒
Amazing Spider-Man Vol 1 34;Main Series;The Thrill of the Hunt!;;;1966-03;1965-12-09;Stan Lee;Steve Ditko;🢐 Spider-Man 🢒;Kraven the Hunter (See chronology);🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Frederick Foswell 🢒 | 🢐 Betty Brant 🢒 (Quits)
Amazing Spider-Man Vol 1 35;Main Series;The Molten Man Regrets...!;;;1966-04;1966-01-11;Steve Ditko | Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;🢐 Molten Man (Mark Raxton) 🢒;
Amazing Spider-Man Vol 1 36;Main Series;When Falls the Meteor!;;;1966-05;1966-02-10;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;Looter (Norton Fester) 🢒 (First appearance);🢐 Gwen Stacy 🢒 | 🢐 Flash Thompson 🢒
Amazing Spider-Man Vol 1 37;Main Series;Once Upon A Time, There Was A Robot...!;;;1966-06;1966-03-10;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;🢐 Mendel Stromm 🢒 (First appearance) | 🢐 Norman Osborn 🢒 (Name first revealed);Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Frederick Foswell 🢒 | 🢐 Gwen Stacy 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Harry Osborn 🢒
Amazing Spider-Man Vol 1 38;Main Series;Just A Guy Named Joe!;;;1966-07;1966-04-12;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;Joe Smith 🢒 (First appearance);Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Ned Leeds 🢒 | 🢐 Harry Osborn 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Aunt May 🢒 | 🢐 Gwen Stacy 🢒
Amazing Spider-Man Vol 1 39;Main Series;How Green Was My Goblin!;;;1966-08;1966-05-10;Stan Lee;John Romita Sr.;🢐 Spider-Man (Peter Parker) 🢒;🢐 Green Goblin (Norman Osborn) 🢒 (Identity revealed);🢐 Gwen Stacy 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Harry Osborn 🢒 | Daily Bugle Staff | 🢐 Ned Leeds 🢒 | 🢐 J. Jonah Jameson 🢒 | 🢐 Aunt May 🢒
Amazing Spider-Man Vol 1 40;Main Series;Spidey Saves the Day! Featuring: The End of the Green Goblin!;;;1966-09;1966-06-09;Stan Lee;John Romita Sr.;🢐 Spider-Man (Peter Parker) 🢒;🢐 Green Goblin (Norman Osborn) 🢒 (Origin revealed) (Appears in flashback);🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒
Amazing Spider-Man Vol 1 41;Main Series;The Horns of the Rhino!;;;1966-10;1966-07-07;Stan Lee;John Romita Sr.;🢐 Spider-Man (Peter Parker) 🢒;🢐 Rhino 🢒 (First appearance);🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Ned Leeds 🢒 | 🢐 Gwen Stacy 🢒
Amazing Spider-Man Annual Vol 1 3;Special;...To Become an Avenger!;;;1966-11;1966-08-02;Stan Lee;John Romita | Don Heck;🢐 Spider-Man (Peter Parker) 🢒;🢐 Hulk (Bruce Banner) 🢒;The Avengers | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Thor 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Goliath (Henry Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Hawkeye 🢒 | 🢐 Daredevil (Matt Murdock) 🢒 | 🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Frederick Foswell 🢒
Amazing Spider-Man Vol 1 42;Main Series;The Birth of a Super-Hero!;;;1966-11;1966-08-09;Stan Lee;John Romita;🢐 Spider-Man (Peter Parker) 🢒 (See chronology);🢐 Rhino 🢒 | 🢐 John Jameson 🢒 (Affected by Mysterious Spores);Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Frederick Foswell 🢒 | 🢐 Ned Leeds 🢒 | 🢐 Gwen Stacy 🢒 | 🢐 Flash Thompson 🢒
Amazing Spider-Man Vol 1 43;Main Series;Rhino on the Rampage!;;;1966-12;1966-09-08;Stan Lee;John Romita;Spider-Man (Peter Parker) (See chronology);Rhino (See chronology);🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Ned Leeds 🢒 | 🢐 Frederick Foswell 🢒 | 🢐 Gwen Stacy 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Mary Jane Watson 🢒
Amazing Spider-Man Vol 1 44;Main Series;Where Crawls the Lizard!;;;1967-01;1966-10-11;Stan Lee;John Romita Sr.;🢐 Spider-Man (Peter Parker) 🢒;🢐 Lizard 🢒;🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 Betty Brant 🢒 | 🢐 J. Jonah Jameson 🢒 | 🢐 Frederick Foswell 🢒 | 🢐 Harry Osborn 🢒 | 🢐 Gwen Stacy 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Mary Jane Watson 🢒
Amazing Spider-Man Vol 1 45;Main Series;Spidey Smashes Out!;;;1967-02;1966-11-10;Stan Lee;;🢐 Spider-Man (Peter Parker) 🢒;🢐 Lizard 🢒;Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Ned Leeds 🢒 | 🢐 Frederick Foswell 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Harry Osborn 🢒 | 🢐 May Parker 🢒 | 🢐 Anna May Watson 🢒 | 🢐 Mary Jane Watson 🢒
Amazing Spider-Man Vol 1 46;Main Series;The Sinister Shocker!;;;1967-03;1966-12-08;Stan Lee;John Romita Sr.;🢐 Spider-Man (Peter Parker) 🢒;🢐 Shocker (Herman Schultz) 🢒 (First appearance) (Origin revealed);🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Frederick Foswell 🢒 | 🢐 Harry Osborn 🢒 | 🢐 Mary Jane Watson 🢒
Amazing Spider-Man Vol 1 47;Main Series;In the Hands of the Hunter!;;;1967-04;1967-01-10;Stan Lee;;Spider-Man (Peter Parker) (See chronology);Kraven the Hunter (See chronology);Mary Jane Watson (See chronology) | Harry Osborn (See chronology) | Green Goblin (See chronology) | Gwen Stacy (See chronology) | Flash Thompson (See chronology) | Daily Bugle Staff | Ned Leeds (See chronology) | Betty Brant (See chronology) | 🢐 J. Jonah Jameson 🢒 | 🢐 Frederick Foswell 🢒
Amazing Spider-Man Vol 1 48;Main Series;The Wings of the Vulture!;;;1967-05;1967-02-14;Stan Lee;;🢐 Spider-Man (Peter Parker) 🢒;Vulture (Blackie Drago) 🢒 (First appearance);🢐 Gwen Stacy 🢒 | 🢐 Harry Osborn 🢒 | 🢐 Mary Jane Watson 🢒
Amazing Spider-Man Vol 1 49;Main Series;From the Depths of Defeat!;;;1967-06;1967-03-14;Stan Lee;John Romita Sr.;🢐 Spider-Man (Peter Parker) 🢒;🢐 Vulture (Blackie Drago) 🢒 | 🢐 Kraven the Hunter 🢒;🢐 Harry Osborn 🢒 | 🢐 Aunt May 🢒 | 🢐 Anna May Watson 🢒 | Daily Bugle Staff | 🢐 J Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Frederick Foswell 🢒 | 🢐 Mary Jane Watson 🢒 | 🢐 Gwen Stacy 🢒
Amazing Spider-Man Vol 1 50;Main Series;Spider-Man No More!;;;1967-07;1967-04-11;Stan Lee;John Romita Sr.;🢐 Spider-Man (Peter Parker) 🢒;🢐 Kingpin (Wilson Fisk) 🢒 (First appearance) | 🢐 Flint 🢒 (First appearance);🢐 Harry Osborn 🢒 | 🢐 Gwen Stacy 🢒 | 🢐 Mary Jane Watson 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Frederick Foswell 🢒
Amazing Spider-Man Vol 1 51;Main Series;In the Clutches of the Kingpin!;;;1967-08;1967-05-09;Stan Lee;John Romita Sr.;🢐 Spider-Man (Peter Parker) 🢒;🢐 Kingpin (Wilson Fisk) 🢒 | Kingpin's Henchmen | 🢐 Flint 🢒 | Big Turk (First appearance) | Blinker (First appearance) | Shorty (First appearance);Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Ned Leeds 🢒 | 🢐 Joe Robertson 🢒 (First appearance) | 🢐 Frederick Foswell 🢒 | 🢐 Betty Brant 🢒
Amazing Spider-Man Vol 1 52;Main Series;To Die a Hero!;;;1967-09;1967-06-08;Stan Lee;John Romita Sr.;🢐 Spider-Man (Peter Parker) 🢒;🢐 Kingpin 🢒 | 🢐 Flint 🢒;Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Ned Leeds 🢒 | 🢐 Joe Robertson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Mary Jane Watson 🢒 | 🢐 Harry Osborn 🢒 | 🢐 Gwen Stacy 🢒 | 🢐 Flash Thompson 🢒
Amazing Spider-Man Vol 1 53;Main Series;Enter: Dr. Octopus;;;1967-10;1967-07-11;Stan Lee;John Romita Sr.;🢐 Spider-Man (Peter Parker) 🢒;🢐 Doctor Octopus (Otto Octavius) 🢒;🢐 Gwen Stacy 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Harry Osborn 🢒 | 🢐 Professor Warren 🢒
